TIME,FLIGHT,FROM,AIRLINE,AIRCRAFT,,STATUS
3:27 PM,NK2459,Louisville (SDF),Spirit Airlines,A21N (N730NK),,Landed 3:19 PM
3:28 PM,DL5288,Augusta (AGS),Delta Connection,CRJ9 (N691CA),,Landed 4:39 PM
3:30 PM,DL195,Barcelona (BCN),Delta Air Lines,A333 (N817NW),,Landed 6:13 PM
3:30 PM,DL1512,Fort Lauderdale (FLL),Delta Air Lines,B752 (N822DX),,Landed 3:06 PM
3:30 PM,DL5157,Monroe (MLU),Delta Connection,CRJ9 (N136EV),,Landed 3:26 PM
3:30 PM,WN431,Las Vegas (LAS),Southwest Airlines,B738 (N8577Z),,Landed 3:16 PM
3:31 PM,AA5067,Charlotte (CLT),American Eagle,CRJ9 (N557NN),,Landed 3:24 PM
3:32 PM,DL2886,Austin (AUS),Delta Air Lines,A321 (N358DN),,Landed 3:06 PM
3:35 PM,DL2629,Montreal (YUL),Delta Air Lines,A319 (N315NB),,Landed 4:16 PM
3:35 PM,VS103,London (LHR),Virgin Atlantic,A35K (G-VDOT),,Landed 3:02 PM
3:36 PM,DL9888,Mexico City (MEX),Delta Air Lines,B738 (N373DA),,Landed 3:36 PM
3:39 PM,DL562,Seattle (SEA),Delta Air Lines,B753 (N592NW),,Landed 3:41 PM
3:39 PM,EJA857,Atlanta (PDK),NetJets,C700 (N857QS),,Landed 3:29 PM
3:40 PM,DL2925,Norfolk (ORF),Delta Air Lines,B752 (N669DN),,Landed 4:09 PM
3:40 PM,,Concord (USA),-,E145 (N508RH),,Landed 3:19 PM
3:41 PM,DL882,Pittsburgh (PIT),Delta Air Lines,B739 (N949DZ),,Landed 3:16 PM
3:42 PM,DL737,Washington (DCA),Delta Air Lines,A320 (N339NW),,Landed 3:30 PM
3:43 PM,AA1236,Dallas (DFW),American Airlines,A21N (N438AN),,Landed 4:53 PM
3:43 PM,DL835,Salt Lake City (SLC),Delta Air Lines,A321 (N314DN),,Landed 3:40 PM
3:43 PM,DL2269,Knoxville (TYS),Delta Air Lines,B712 (N946AT),,Landed 3:10 PM
3:43 PM,DL1858,Cincinnati (CVG),Delta Air Lines,B738 (N3751B),,Landed 6:14 PM
3:44 PM,DL2710,Toronto (YYZ),Delta Air Lines,B739 (N849DN),,Landed 3:37 PM
3:45 PM,DL346,Denver (DEN),Delta Air Lines,A321 (N127DN),,Landed 3:55 PM
3:45 PM,DL1965,Nassau (NAS),Delta Air Lines,B739 (N911DQ),,Landed 3:07 PM
3:45 PM,DL3245,Raleigh-Durham (RDU),Delta Air Lines,B739 (N878DN),,Landed 4:13 PM
3:46 PM,DL314,Portland (PWM),Delta Air Lines,A321 (N308DN),,Landed 3:22 PM
3:48 PM,DL3024,Jacksonville (JAX),Delta Air Lines,B752 (N6716C),,Landed 3:29 PM
3:50 PM,TK6039,Chicago (ORD),Turkish Airlines,74C,,Unknown
3:51 PM,DL2417,Chicago (MDW),Delta Air Lines,B712 (N929AT),,Landed 3:15 PM
3:53 PM,DL775,Cleveland (CLE),Delta Air Lines,A320 (N378NW),,Landed 3:37 PM
3:53 PM,DL1030,Orlando (MCO),Delta Air Lines,B752 (N6703D),,Landed 3:47 PM
3:53 PM,DL4836,Chattanooga (CHA),Delta Connection,CRJ7 (N669CA),,Landed 3:27 PM
3:53 PM,DL5300,Bentonville (XNA),Delta Connection,CRJ9 (N602LR),,Landed 4:42 PM
3:53 PM,AA443,Philadelphia (PHL),American Airlines,A319 (N824AW),,Landed 3:50 PM
3:54 PM,DL1912,San Antonio (SAT),Delta Air Lines,A321 (N120DN),,Landed 3:31 PM
3:55 PM,DL139,Venice (VCE),Delta Air Lines,B764 (N826MH),,Landed 3:13 PM
3:55 PM,DL735,Santa Barbara (SBA),Delta Air Lines,BCS3 (N332DU),,Landed 3:37 PM
3:55 PM,DL1151,Milwaukee (MKE),Delta Air Lines,B752 (N668DN),,Landed 3:40 PM
3:55 PM,DL4879,Evansville (EVV),Delta Air Lines,(N907XH),,Landed 3:33 PM
3:56 PM,DL3216,Savannah (SAV),Delta Air Lines,B739 (N955DZ),,Landed 3:33 PM
3:57 PM,NK2172,San Antonio (SAT),Spirit Airlines,A320 (N629NK),,Landed 3:44 PM
3:59 PM,DL1359,Panama City (ECP),Delta Air Lines,B739 (N824DN),,Landed 4:02 PM
3:59 PM,DL3699,Shreveport (SHV),Delta Connection,CRJ9 (N822SK),,Landed 3:41 PM
4:00 PM,DL1029,New York (JFK),Delta Air Lines,A333 (N808NW),,Landed 6:00 PM
4:00 PM,DL3092,Destin Fort Walton Beach (VPS),Delta Air Lines,B712 (N986AT),,Landed 3:39 PM
4:01 PM,DL2470,Tulsa (TUL),Delta Air Lines,B712 (N993AT),,Canceled
4:02 PM,DL573,Tallahassee (TLH),Delta Air Lines,B712 (N896AT),,Landed 3:48 PM
4:05 PM,DL175,Milan (MXP),Delta Air Lines,A333 (N805NW),,Landed 3:47 PM
4:05 PM,DL5556,Raleigh-Durham (RDU),Delta Connection,CRJ9 (N678CA),,Canceled
4:07 PM,DL782,Los Angeles (LAX),Delta Air Lines,A321 (N371DN),,Landed 4:00 PM
4:07 PM,DL1818,New York (EWR),Delta Air Lines,A321 (N362DN),,Landed 3:40 PM
4:07 PM,DL3168,Wilmington (ILM),Delta Air Lines,B712 (N979AT),,Landed 3:30 PM
4:07 PM,,Hattiesburg (PIB),-,C550 (N588JK),,Landed 4:02 PM
4:08 PM,DL1195,Houston (HOU),Delta Air Lines,B712 (N995AT),,Landed 4:06 PM
4:08 PM,DL3156,St. Louis (STL),Delta Air Lines,B738 (N378DA),,Landed 4:49 PM
4:09 PM,DL1154,Philadelphia (PHL),Delta Air Lines,B752 (N6704Z),,Landed 4:38 PM
4:09 PM,DL1472,Key West (EYW),Delta Air Lines,A319 (N359NB),,Landed 3:42 PM
4:11 PM,DL3010,Greenville-Spartanburg (GSP),Delta Air Lines,B712 (N974AT),,Landed 3:38 PM
4:12 PM,DL3012,Birmingham (BHM),Delta Air Lines,B712 (N994AT),,Landed 3:54 PM
4:13 PM,DL322,Boston (BOS),Delta Air Lines,A321 (N315DN),,Landed 4:11 PM
4:13 PM,DL1317,Greensboro (GSO),Delta Air Lines,B712 (N935AT),,Landed 4:41 PM
4:14 PM,DL2356,Columbia (CAE),Delta Air Lines,B712 (N943AT),,Landed 3:46 PM
4:14 PM,DL2586,Charlotte (CLT),Delta Air Lines,B712 (N961AT),,Landed 3:57 PM
4:15 PM,DL1048,Minneapolis (MSP),Delta Air Lines,B752 (N821DX),,Landed 4:04 PM
4:15 PM,DL1332,Miami (MIA),Delta Air Lines,B752 (N6713Y),,Landed 4:04 PM
4:15 PM,QR755,Doha (DOH),Qatar Airways,A35K (A7-ANK),,Landed 3:27 PM
4:16 PM,DL1640,Pensacola (PNS),Delta Air Lines,B739 (N939DZ),,Landed 4:07 PM
4:17 PM,DL527,Kansas City (MCI),Delta Air Lines,B739 (N954DZ),,Landed 4:12 PM
4:18 PM,DL2182,Huntsville (HSV),Delta Air Lines,B712 (N607AT),,Landed 3:56 PM
4:19 PM,DL1004,Albuquerque (ABQ),Delta Air Lines,B739 (N927DZ),,Landed 4:03 PM
4:19 PM,DL3161,Columbus (CMH),Delta Air Lines,B739 (N962DZ),,Landed 4:31 PM
4:21 PM,DL2179,Charleston (CHS),Delta Air Lines,B739 (N953DZ),,Landed 4:30 PM
4:21 PM,DL2763,Dayton (DAY),Delta Air Lines,B712 (N980AT),,Landed 3:45 PM
4:21 PM,DL5423,Charlottesville (CHO),Delta Connection,CRJ7 (N371CA),,Landed 3:55 PM
4:24 PM,DL2709,Houston (IAH),Delta Air Lines,A321 (N305DN),,Landed 4:51 PM
4:24 PM,DL4920,North Eleuthera (ELH),Delta Connection,CRJ7 (N398CA),,Landed 4:24 PM
4:24 PM,WS1590,Calgary (YYC),WestJet,B738 (C-FZRM),,Landed 4:44 PM
4:25 PM,DL294,Tokyo (HND),Delta Air Lines (100 Years Livery),A359 (N527DN),,Landed 3:52 PM
4:27 PM,DL988,New York (LGA),Delta Air Lines,A321 (N377DN),,Landed 5:30 PM
4:27 PM,AA3932,Washington (DCA),American Eagle,E75L (N282NN),,Landed 4:46 PM
4:28 PM,DL9889,Cartagena (CTG),Delta Air Lines,B738 (N382DA),,Landed 5:33 PM
4:29 PM,DL641,Cancun (CUN),Delta Air Lines,B752 (N658DL),,Landed 3:50 PM
4:29 PM,DL1416,Las Vegas (LAS),Delta Air Lines,B739 (N904DN),,Landed 5:10 PM
4:29 PM,B6419,New York (JFK),JetBlue,A320 (N636JB),,Landed 4:28 PM
4:32 PM,DL2585,Little Rock (LIT),Delta Air Lines,B712 (N954AT),,Landed 6:04 PM
4:32 PM,DL5011,Charleston (CRW),Delta Connection,CRJ9 (N928XJ),,Landed 6:39 PM
4:33 PM,DL1870,George Town (GCM),Delta Air Lines,B738 (N397DA),,Landed 4:26 PM
4:33 PM,DL2778,Memphis (MEM),Delta Air Lines,B738 (N3735D),,Landed 4:58 PM
4:33 PM,DL3127,Melbourne (MLB),Delta Air Lines,B712 (N603AT),,Landed 5:02 PM
4:35 PM,DL67,Rome (FCO),Delta Air Lines,A339 (N416DX),,Landed 4:50 PM
4:36 PM,DL1525,Tampa (TPA),Delta Air Lines,B752 (N556NW),,Landed 5:27 PM
4:37 PM,DL2718,Gulfport (GPT),Delta Air Lines,B712 (N966AT),,Landed 4:40 PM
4:38 PM,DL2438,Sarasota (SRQ),Delta Air Lines,B739 (N944DZ),,Landed 4:57 PM
4:38 PM,DL4953,Golden Triangle (GTR),Delta Connection,CRJ9 (N903XJ),,Landed 5:57 PM
4:39 PM,DL414,Dallas (DFW),Delta Air Lines,A321 (N337DN),,Landed 4:48 PM
4:39 PM,DL1190,West Palm Beach (PBI),Delta Air Lines,A321 (N104DN),,Landed 5:58 PM
4:40 PM,WN403,Dallas (DAL),Southwest Airlines,B38M (N8706W),,Landed 4:46 PM
4:45 PM,DL885,Salt Lake City (SLC),Delta Air Lines,A321 (N105DX),,Landed 4:50 PM
4:47 PM,DL576,Mexico City (MEX),Delta Air Lines,B738 (N380DA),,Landed 4:10 PM
4:49 PM,DL4931,Mobile (MOB),Delta Connection,CRJ9 (N133EV),,Landed 4:46 PM
4:50 PM,VS109,Manchester (MAN),Virgin Atlantic,A35K (G-VELJ),,Landed 3:48 PM
4:50 PM,AA1245,Miami (MIA),American Airlines,B738 (N907NN),,Delayed 10:20 PM
4:51 PM,DL1866,Monterrey (MTY),Delta Air Lines,A319 (N338NB),,Landed 4:42 PM
4:52 PM,DL2827,Daytona Beach (DAB),Delta Air Lines,B712 (N985AT),,Landed 4:33 PM
4:53 PM,DL1456,Chicago (ORD),Delta Air Lines,B739 (N850DN),,Landed 5:08 PM
4:53 PM,UA1986,San Francisco (SFO),United Airlines,B39M (N17594),,Landed 4:47 PM
4:54 PM,DL1437,Richmond (RIC),Delta Air Lines,B739 (N816DN),,Landed 6:52 PM
4:54 PM,DL2011,Austin (AUS),Delta Air Lines,A321 (N338DN),,Landed 5:06 PM
4:54 PM,DL2451,Louisville (SDF),Delta Air Lines,B739 (N820DN),,Landed 5:11 PM
4:54 PM,DL1082,Windsor Locks (BDL),Delta Air Lines,A320 (N367NW),,Landed 4:54 PM
4:55 PM,WN3873,Denver (DEN),Southwest Airlines,B38M (N8767M),,Landed 4:55 PM
4:55 PM,WN1287,Washington (DCA),Southwest Airlines,B737 (N938WN),,Diverted to BNA
4:57 PM,DL348,Phoenix (PHX),Delta Air Lines,B752 (N552NW),,Landed 5:01 PM
4:57 PM,DL1755,Punta Cana (PUJ),Delta Air Lines,B739 (N868DN),,Landed 4:35 PM
4:57 PM,DL3927,Montgomery (MGM),American Eagle,CRJ7 (N712SK),,Landed 5:12 PM
4:58 PM,DL3238,Raleigh-Durham (RDU),Delta Air Lines,B739 (N963DZ),,Landed 4:34 PM
4:59 PM,DL75,Amsterdam (AMS),Delta Air Lines,A333 (N802NW),,Landed 4:42 PM
4:59 PM,DL3928,Augusta (AGS),Delta Connection,CRJ7 (N776SK),,Landed 5:14 PM
5:00 PM,DL2529,Panama City (ECP),Delta Air Lines,B738 (N3745B),,Landed 5:28 PM
5:02 PM,DL1228,Detroit (DTW),Delta Air Lines,A321 (N378DN),,Landed 4:39 PM
5:03 PM,DL1757,San Juan (SJU),Delta Air Lines,B739 (N912DU),,Landed 5:08 PM
5:05 PM,DL1832,Asheville (AVL),Delta Air Lines,B712 (N893AT),,Landed 5:23 PM
5:05 PM,DL1865,Nashville (BNA),Delta Air Lines,B739 (N960DZ),,Landed 5:52 PM
5:05 PM,DL2832,Destin Fort Walton Beach (VPS),Delta Air Lines,B712 (N944AT),,Landed 4:55 PM
5:05 PM,DL4989,Fayetteville (FAY),Delta Connection,CRJ7 (N668CA),,Landed 4:45 PM
5:05 PM,DL5364,Jacksonville (OAJ),Delta Connection,CRJ9 (N331PQ),,Landed 4:52 PM
5:05 PM,WN2458,Austin (AUS),Southwest Airlines,B737 (N7727A),,Landed 5:46 PM
5:06 PM,F92498,Indianapolis (IND),Frontier (Choo the Pika Livery),A20N (N331FR),,Landed 5:09 PM
5:07 PM,DL2990,Jacksonville (JAX),Delta Air Lines,B752 (N6714Q),,Landed 5:35 PM
5:11 PM,AS727,Seattle (SEA),Alaska Airlines,B739 (N448AS),,Landed 5:02 PM
5:11 PM,DL3133,Gainesville (GNV),Delta Air Lines,B712 (N951AT),,Landed 4:50 PM
5:14 PM,DL1576,Orlando (MCO),Delta Air Lines,B752 (N554NW),,Landed 5:53 PM
5:14 PM,DL1928,Montego Bay (MBJ),Delta Air Lines,A321 (N317DN),,Landed 4:57 PM
5:14 PM,NK2405,San Juan (SJU),Spirit Airlines,A21N (N726NK),,Landed 4:48 PM
5:15 PM,DL188,Seoul (ICN),Delta Air Lines,A359 (N528DN),,Landed 5:26 PM
5:15 PM,AA753,Los Angeles (LAX),American Airlines,A321 (N188US),,Landed 5:36 PM
5:17 PM,DL297,Athens (ATH),Delta Air Lines,A339 (N407DX),,Landed 5:10 PM
5:17 PM,DL995,Denver (DEN),Delta Air Lines,A321 (N351DN),,Landed 5:07 PM
5:19 PM,DL327,Los Angeles (LAX),Delta Air Lines,A321 (N126DN),,Landed 5:14 PM
5:19 PM,DL2020,Oklahoma City (OKC),Delta Air Lines,A320 (N351NW),,Landed 5:16 PM
5:19 PM,NK2571,Houston (IAH),Spirit Airlines,A320 (N698NK),,Landed 5:00 PM
5:20 PM,DL31,London (LHR),Delta Air Lines,B764 (N825MH),,Landed 4:47 PM
5:20 PM,DL1196,Fort Myers (RSW),Delta Air Lines,B739 (N897DN),,Landed 5:04 PM
5:20 PM,DL1754,St. Thomas (STT),Delta Air Lines,B752 (N542US),,Landed 5:06 PM
5:20 PM,DL5084,Roanoke (ROA),Delta Connection,CRJ7 (N376CA),,Unknown
5:20 PM,SK929,Copenhagen (CPH),SAS,A333 (LN-RKT),,Landed 4:52 PM
5:21 PM,DL1701,Knoxville (TYS),Delta Air Lines (SkyTeam Livery),B738 (N381DN),,Landed 5:32 PM
5:21 PM,DL3150,Savannah (SAV),Delta Air Lines,B739 (N884DN),,Landed 5:32 PM
5:25 PM,DL1989,Blountville (TRI),Delta Air Lines,B712 (N922AT),,Landed 5:47 PM
5:25 PM,DL2867,New Orleans (MSY),Delta Air Lines,B739 (N883DN),,Landed 5:51 PM
5:25 PM,AF32,Paris (CDG),Air France,B772 (F-GSPG),,Landed 5:19 PM
5:25 PM,WN755,Columbus (CMH),Southwest Airlines,B38M (N8716B),,Landed 6:34 PM
5:26 PM,AA2819,Philadelphia (PHL),American Airlines,A319 (N840AW),,Landed 5:05 PM
5:26 PM,DL1482,Washington (IAD),Delta Air Lines,BCS3 (N314DU),,Landed 6:31 PM
5:26 PM,WS1596,Vancouver (YVR),WestJet,B738 (C-GWSZ),,Landed 5:18 PM
5:27 PM,DL1872,Providenciales (PLS),Delta Air Lines,A321 (N128DN),,Landed 4:59 PM
5:28 PM,DL2388,Chattanooga (CHA),Delta Air Lines,B712 (N953AT),,Landed 5:48 PM
5:29 PM,5X5306,Louisville (SDF),UPS,MD11 (N275UP),,Landed 6:25 PM
5:30 PM,DL3212,Lexington (LEX),Delta Air Lines,B712 (N965AT),,Landed 6:18 PM
5:30 PM,DL1778,Myrtle Beach (MYR),Delta Air Lines,B712 (N991AT),,Landed 5:44 PM
5:31 PM,DL5092,White Plains (HPN),Delta Connection,CRJ9 (N924XJ),,Landed 5:35 PM
5:31 PM,DL5516,Bentonville (XNA),Delta Connection,CRJ9 (N228PQ),,Landed 5:22 PM
5:33 PM,DL974,New York (LGA),Delta Air Lines,A321 (N359DN),,Landed 6:49 PM
5:39 PM,DL1976,Nassau (NAS),Delta Air Lines,A321 (N302DN),,Landed 5:17 PM
5:39 PM,UA356,Chicago (ORD),United Airlines,B737 (N39726),,Landed 6:15 PM
5:40 PM,AA1248,Dallas (DFW),American Airlines,A21N (N440AN),,Landed 5:42 PM
5:40 PM,F9152,Cancun (CUN),Frontier (Pike the Otter Livery),A320 (N235FR),,Delayed 9:24 PM
5:40 PM,DL5560,Jackson (JAN),Delta Connection,CRJ9 (N901XJ),,Canceled
5:41 PM,DL2155,Des Moines (DSM),Delta Air Lines,B712 (N891AT),,Landed 6:23 PM
5:43 PM,DL927,Las Vegas (LAS),Delta Air Lines,B752 (N706TW),,Landed 5:28 PM
5:45 PM,WN1870,Chicago (MDW),Southwest Airlines,B737 (N204WN),,Unknown
5:49 PM,DL1341,Fort Lauderdale (FLL),Delta Air Lines,B752 (N692DL),,Landed 5:19 PM
5:49 PM,DL2837,Cincinnati (CVG),Delta Air Lines,B739 (N888DU),,Landed 6:21 PM
5:51 PM,DL2322,New York (EWR),Delta Air Lines,A321 (N332DN),,Diverted to JAX
5:54 PM,DL360,Washington (DCA),Delta Air Lines,A321 (N373DX),,Landed 6:50 PM
5:55 PM,WN2965,Houston (HOU),Southwest Airlines,B738 (N8638A),,Landed 6:41 PM
5:56 PM,UA462,Houston (IAH),United Airlines,A320 (N451UA),,Landed 7:09 PM
5:57 PM,DL1720,Tampa (TPA),Delta Air Lines,B752 (N548US),,Diverted to JAX
5:57 PM,DL2104,Austin (AUS),Delta Air Lines,A321 (N316DN),,Landed 5:38 PM
5:57 PM,DL4643,Jackson (JAN),Delta Connection,CRJ9 (N300PQ),,Landed 5:54 PM
5:58 PM,DL638,Boston (BOS),Delta Air Lines,A321 (N322DN),,Landed 6:02 PM
5:59 PM,DL597,Cancun (CUN),Delta Air Lines,B752 (N670DN),,Diverted to BNA
6:01 PM,DL3031,Charlotte (CLT),Delta Air Lines,B712 (N939AT),,Landed 5:43 PM
6:05 PM,DL1805,San Pedro Sula (SAP),Delta Air Lines,B739 (N898DN),,Landed 5:53 PM
6:05 PM,WN1743,New Orleans (MSY),Southwest Airlines,B737 (N474WN),,Landed 6:08 PM
6:07 PM,DL3152,Richmond (RIC),Delta Air Lines,B739 (N823DN),,Landed 6:17 PM
6:07 PM,DL3209,Baton Rouge (BTR),Delta Air Lines,B712 (N960AT),,Landed 6:06 PM
6:10 PM,DL1125,Omaha (OMA),Delta Air Lines,B712 (N942AT),,Landed 6:59 PM
6:10 PM,DL1579,Miami (MIA),Delta Air Lines,B752 (N695DL),,Landed 5:51 PM
6:10 PM,WN459,St. Louis (STL),Southwest Airlines,B737 (N7827A),,Landed 6:24 PM
6:11 PM,DL1810,Birmingham (BHM),Delta Air Lines,B739 (N959DZ),,Landed 5:49 PM
6:13 PM,DL2403,Huntsville (HSV),Delta Air Lines,B712 (N982AT),,Landed 5:47 PM
6:14 PM,DL1246,Milwaukee (MKE),Delta Air Lines,B739 (N812DN),,Landed 5:58 PM
6:15 PM,DL2170,New York (JFK),Delta Air Lines,B739 (N864DN),,Diverted to AGS
6:15 PM,NK3183,Fort Lauderdale (FLL),Spirit Airlines,A21N (N717NK),,Landed 6:19 PM
6:16 PM,B61317,Boston (BOS),JetBlue,BCS3 (N3242J),,Diverted to SAV
6:17 PM,DL1802,Belize City (BZE),Delta Air Lines,B738 (N3772H),,Landed 5:48 PM
6:18 PM,DL2279,Philadelphia (PHL),Delta Air Lines,A321 (N333DX),,Landed 6:05 PM
6:20 PM,AA3175,Chicago (ORD),American Airlines,A319 (N717UW),,Landed 6:35 PM
6:20 PM,DL1408,San Antonio (SAT),Delta Air Lines,A320 (N365NW),,Landed 6:54 PM
6:21 PM,DL1013,Pensacola (PNS),Delta Air Lines,B752 (N689DL),,Landed 6:18 PM
6:21 PM,DL1772,Tulum (TQO),Delta Air Lines,B739 (N880DN),,Landed 6:00 PM
6:22 PM,DL2700,St. Louis (STL),Delta Air Lines,B739 (N942DZ),,Landed 6:28 PM
6:22 PM,F91081,Washington (IAD),Frontier (Colorado the Bighorn Sheep Livery),A20N (N323FR),,Landed 6:36 PM
6:24 PM,DL725,San Diego (SAN),Delta Air Lines,B753 (N588NW),,Landed 6:34 PM
6:25 PM,DL1051,Norfolk (ORF),Delta Air Lines,B739 (N891DN),,Landed 6:16 PM
6:25 PM,DL1353,Pittsburgh (PIT),Delta Air Lines,B739 (N945DZ),,Landed 7:03 PM
6:25 PM,DL3952,Lafayette (LFT),Delta Connection,CRJ9 (N809SK),,Landed 6:44 PM
6:26 PM,UA1850,New York (EWR),United Airlines,A319 (N817UA),,Delayed 10:40 PM
6:27 PM,DL1803,Santo Domingo (SDQ),Delta Air Lines,A321 (N370DN),,Landed 5:56 PM
6:30 PM,DL55,Lagos (LOS),Delta Air Lines,A332 (N857NW),,Landed 5:41 PM
6:30 PM,UA1671,Denver (DEN),United Airlines,A319 (N872UA),,Landed 6:07 PM
6:31 PM,DL2539,Greensboro (GSO),Delta Air Lines,B712 (N921AT),,Landed 5:57 PM
6:31 PM,AS474,San Diego (SAN),Alaska Airlines,B739 (N481AS),,Landed 7:01 PM
6:32 PM,AA2932,Miami (MIA),American Airlines,A319 (N776XF),,Landed 7:00 PM
6:34 PM,DL528,Los Angeles (LAX),Delta Air Lines,B753 (N584NW),,Landed 7:04 PM
6:34 PM,DL2174,Charleston (CHS),Delta Air Lines,B739 (N957DZ),,Landed 6:10 PM
6:34 PM,DL3134,Indianapolis (IND),Delta Air Lines,B739 (N950DZ),,Diverted to CHS
6:35 PM,DL1994,Tallahassee (TLH),Delta Air Lines,B712 (N930AT),,Landed 6:28 PM
6:36 PM,DL9937,Tulsa (TUL),Delta Air Lines,B712 (N993AT),,Unknown
6:37 PM,DL1372,Orlando (MCO),Delta Air Lines,B752 (N694DL),,Unknown
6:37 PM,DL1882,San Juan (SJU),Delta Air Lines,A321 (N345DN),,Landed 6:23 PM
6:38 PM,DL969,New York (LGA),Delta Air Lines,A321 (N396DN),,Diverted to CHS
6:38 PM,DL1002,El Paso (ELP),Delta Air Lines,B739 (N926DZ),,Landed 6:30 PM
6:38 PM,DL1800,Montego Bay (MBJ),Delta Air Lines,A321 (N346DN),,Landed 6:21 PM
6:39 PM,DL1831,Guatemala City (GUA),Delta Air Lines,B752 (N67171),,Diverted to SAV
6:40 PM,DL1467,Detroit (DTW),Delta Air Lines,B752 (N553NW),,Landed 6:27 PM
6:40 PM,DL4886,Bloomington (BMI),Delta Connection,CRJ9 (N607LR),,Landed 6:37 PM
6:40 PM,WN329,Tampa (TPA),Southwest Airlines,B38M (N8943Q),,Diverted to BNA
6:41 PM,DL1804,Guadalajara (GDL),Delta Air Lines,B739 (N881DN),,Landed 6:11 PM
6:41 PM,DL3095,Greenville-Spartanburg (GSP),Delta Air Lines,A319 (N343NB),,Landed 6:20 PM
6:42 PM,F94797,Raleigh-Durham (RDU),Frontier (Abaco the Kirtland's Warbler Livery),A21N (N630FR),,Canceled
6:43 PM,DL1443,Kansas City (MCI),Delta Air Lines,B739 (N961DZ),,Landed 6:39 PM
6:44 PM,DL587,Mexico City (MEX),Delta Air Lines,B738 (N375DA),,Landed 6:15 PM
6:44 PM,DL838,West Palm Beach (PBI),Delta Air Lines,A321 (N321DH),,Landed 6:42 PM
6:44 PM,DL2799,Baltimore (BWI),Delta Air Lines,A321 (N367DN),,Landed 6:37 PM
6:45 PM,DL1919,Punta Cana (PUJ),Delta Air Lines,A321 (N330DX),,Landed 6:25 PM
6:47 PM,DL2200,Columbus (CMH),Delta Air Lines,B739 (N938DZ),,Landed 6:33 PM
6:47 PM,DL5435,White Plains (HPN),Delta Connection,CRJ9 (N146PQ),,Diverted to RDU
6:49 PM,DL1477,Chicago (ORD),Delta Air Lines,A321 (N350DN),,Diverted to MEM
6:49 PM,DL1550,Raleigh-Durham (RDU),Delta Air Lines,B739 (N943DZ),,Landed 6:29 PM
6:54 PM,AA5202,Washington (DCA),American Eagle,CRJ7 (N708PS),,Canceled
6:54 PM,DL1067,Springfield (SGF),Delta Air Lines,B712 (N997AT),,Landed 6:46 PM
6:54 PM,DL2720,Jacksonville (JAX),Delta Air Lines,B752 (N900PC),,Landed 6:40 PM
6:55 PM,DL268,Sao Paulo (GRU),Delta Air Lines,A333 (N807NW),,Landed 6:45 PM
6:55 PM,DL3032,Columbia (CAE),Delta Air Lines,B712 (N955AT),,Diverted to CAE
6:55 PM,WN3260,San Antonio (SAT),Southwest Airlines,B737 (N7828A),,Diverted to BNA
6:58 PM,DL1883,St. Thomas (STT),Delta Air Lines,B752 (N659DL),,Landed 6:57 PM
6:58 PM,DL5537,Augusta (AGS),Delta Connection,CRJ9 (N691CA),,Unknown
6:59 PM,DL2545,Cleveland (CLE),Delta Air Lines,B739 (N946DZ),,Landed 6:44 PM
6:59 PM,F93600,Denver (DEN),Frontier (Rocket the Hammerhead Shark Livery),A20N (N388FR),,Landed 6:59 PM
7:00 PM,WN417,Kansas City (MCI),Southwest Airlines (Nevada One Livery),B738 (N8646B),,Unknown
7:04 PM,DL1036,Minneapolis (MSP),Delta Air Lines,B739 (N856DN),,Diverted to HSV
7:05 PM,DL706,Denver (DEN),Delta Air Lines,A321 (N114DN),,Diverted to HSV
7:09 PM,DL665,Ontario (ONT),Delta Air Lines,A321 (N111DC),,Landed 7:10 PM
7:10 PM,DL539,Portland (PDX),Delta Air Lines,B739 (N857DZ),,Landed 7:01 PM
7:10 PM,DL1572,Houston (IAH),Delta Air Lines,A321 (N364DX),,Landed 6:48 PM
7:10 PM,DL1972,Knoxville (TYS),Delta Air Lines,B712 (N963AT),,Diverted to AGS
7:10 PM,WN667,Baltimore (BWI),Southwest Airlines,B737 (N939WN),,Diverted to GSP
7:10 PM,WN667,Greenville-Spartanburg (GSP),Southwest Airlines,B737 (N939WN),,Unknown
7:12 PM,DL1683,Nashville (BNA),Delta Air Lines,B739 (N958DZ),,Unknown
7:12 PM,DL5180,Brunswick (BQK),Delta Connection,CRJ7 (N354CA),,Diverted to BQK
7:12 PM,LXJ502,Atlanta (PDK),Flexjet,CL35,,Unknown
7:13 PM,DL564,Santa Ana (SNA),Delta Air Lines,B752 (N711ZX),,Landed 7:11 PM
7:13 PM,F92052,New Orleans (MSY),Frontier Airlines,A20N,,Unknown
7:14 PM,DL2812,Louisville (SDF),Delta Air Lines,B712 (N894AT),,Landed 6:53 PM
7:14 PM,DL3094,Panama City (ECP),Delta Air Lines,B712 (N906AT),,Diverted to BHM
7:15 PM,DL777,Las Vegas (LAS),Delta Air Lines,B752 (N6709),,Landed 7:09 PM
7:18 PM,DL906,Salt Lake City (SLC),Delta Air Lines,A21N (N513DA),,Diverted to BHM
7:18 PM,DL4033,South Bend (SBN),Delta Connection,CRJ9 (N833SK),,Diverted to SAV
7:19 PM,DL759,Tampa (TPA),Delta Air Lines,B752 (N699DL),,Diverted to TLH
7:19 PM,DL1962,Cancun (CUN),Delta Air Lines,B739 (N893DN),,Landed 7:03 PM
