TIME,FLIGHT,FROM,AIRLINE,AIRCRAFT,,STATUS
9:35 AM,DL1463,Orlando (MCO),Delta Air Lines,B752 (N697DL),,Landed 9:17 AM
9:35 AM,DL1819,Louisville (SDF),Delta Air Lines,B739 (N845DN),,Landed 9:18 AM
9:36 AM,NK2213,Fort Lauderdale (FLL),Spirit Airlines,A21N (N742NK),,Landed 9:31 AM
9:37 AM,DL1536,St. Louis (STL),Delta Air Lines,B739 (N828DN),,Landed 9:16 AM
9:38 AM,DL3165,Columbus (CMH),Delta Air Lines,B738 (N3772H),,Landed 9:13 AM
9:40 AM,DL2157,Charleston (CHS),Delta Air Lines,B739 (N932DZ),,Landed 9:16 AM
9:40 AM,WN3224,Tampa (TPA),Southwest Airlines (Freedom One Livery),B738 (N500WR),,Landed 9:28 AM
9:40 AM,WN351,New York (LGA),Southwest Airlines,B738 (N8683D),,Landed 11:06 AM
9:41 AM,DL1674,Panama City (ECP),Delta Air Lines,B712 (N988AT),,Landed 9:06 AM
9:42 AM,DL965,Detroit (DTW),Delta Air Lines,A21N (N506DA),,Landed 9:32 AM
9:43 AM,DL2779,Savannah (SAV),Delta Air Lines,B739 (N937DZ),,Landed 9:09 AM
9:43 AM,DL5279,Knoxville (TYS),Delta Connection,CRJ9 (N491PX),,Landed 1:36 PM
9:45 AM,DL2643,Montreal (YUL),Delta Air Lines,A320 (N378NW),,Landed 9:27 AM
9:47 AM,DL3179,Greensboro (GSO),Delta Air Lines,B712 (N895AT),,Landed 9:12 AM
9:49 AM,DL343,Washington (DCA),Delta Air Lines,A321 (N332DN),,Landed 12:07 PM
9:49 AM,DL2562,Baltimore (BWI),Delta Air Lines,B752 (N669DN),,Landed 9:42 AM
9:50 AM,DL1301,West Palm Beach (PBI),Delta Air Lines,A321 (N338DN),,Landed 9:22 AM
9:51 AM,DL3076,Cincinnati (CVG),Delta Air Lines,B739 (N880DN),,Landed 9:35 AM
9:52 AM,DL1338,Norfolk (ORF),Delta Air Lines,B752 (N557NW),,Landed 9:27 AM
9:52 AM,DL2522,New Orleans (MSY),Delta Air Lines,B752 (N541US),,Landed 9:33 AM
9:53 AM,DL1625,Memphis (MEM),Delta Air Lines,B739 (N954DZ),,Landed 9:46 AM
9:54 AM,DL523,Cleveland (CLE),Delta Air Lines,B738 (N3736C),,Landed 9:25 AM
9:54 AM,DL1415,Richmond (RIC),Delta Air Lines,B752 (N6704Z),,Landed 9:29 AM
9:55 AM,DL1066,San Antonio (SAT),Delta Air Lines,A321 (N103DY),,Landed 9:44 AM
9:55 AM,WN457,St. Louis (STL),Southwest Airlines,B738 (N8561Z),,Landed 9:46 AM
9:58 AM,DL2988,Toronto (YYZ),Delta Air Lines,A321 (N346DN),,Landed 9:39 AM
9:58 AM,DL3009,Huntsville (HSV),Delta Air Lines,B712 (N965AT),,Landed 9:23 AM
