TIME,FLIGHT,TO,AIRLINE,AIRCRAFT,STATUS
8:01 PM,WN8504,Richmond (RIC),Southwest Airlines,-,Estimated dep. 11:19 PM
8:04 PM,DL2001,Memphis (MEM),Delta Air Lines,B739 (N938DZ),Estimated dep. 10:15 PM
8:04 PM,DL3120,Indianapolis (IND),Delta Air Lines,B739 (N946DZ),Estimated dep. 10:14 PM
8:05 PM,AF33,Paris (CDG),Air France,B772 (F-GSPG),Estimated dep. 9:30 PM
8:05 PM,DL730,Boise (BOI),Delta Air Lines,A321 (N330DX),Estimated dep. 10:14 PM
8:10 PM,DL955,Las Vegas (LAS),Delta Air Lines,A321,Estimated dep. 10:45 PM
8:10 PM,DL3623,South Bend (SBN),Delta Connection,CRJ9 (N833SK),Estimated dep. 9:31 PM
8:14 PM,NK2470,New Orleans (MSY),Spirit Airlines,A320 (N697NK),Estimated dep. 8:14 PM
8:15 PM,DL3002,Nashville (BNA),Delta Air Lines,B739 (N961DZ),Estimated dep. 10:00 PM
8:15 PM,DL1139,Chicago (ORD),Delta Air Lines,B739 (N812DN),Canceled
8:15 PM,DL2494,Panama City (ECP),Delta Air Lines,B712 (N997AT),Estimated dep. 10:14 PM
8:15 PM,DL3084,Jackson (JAN),Delta Air Lines,B712 (N923AT),Estimated dep. 10:48 PM
8:17 PM,AA5175,Charlotte (CLT),American Eagle,CRJ9 (N559NN),Canceled
8:17 PM,DL5429,Columbus (CSG),Delta Connection,CRJ7 (N690CA),Estimated dep. 12:04 AM
8:18 PM,DL5035,Allentown (ABE),Delta Connection,CRJ9 (N146PQ),Estimated dep. 12:05 AM
8:20 PM,DL703,Spokane (GEG),Delta Air Lines,B739 (N857DZ),Estimated dep. 10:00 PM
8:20 PM,DL1366,Chattanooga (CHA),Delta Air Lines,B712 (N926AT),Estimated dep. 11:19 PM
8:22 PM,DL3149,Lexington (LEX),Delta Air Lines,B712 (N919AT),Estimated dep. 11:08 PM
8:23 PM,F93097,Dallas (DFW),Frontier (Joaquin the Kit Fox Livery),A20N (N387FR),Estimated dep. 9:38 PM
8:23 PM,AA2403,Dallas (DFW),American Airlines,A321 (N575UW),Canceled
8:23 PM,DL5202,Brunswick (BQK),Delta Connection,CRJ7 (N371CA),Estimated dep. 11:00 PM
8:25 PM,DL2265,Jacksonville (JAX),Delta Air Lines,B752 (N6709),Estimated dep. 10:01 PM
8:25 PM,DL3021,Pensacola (PNS),Delta Air Lines,B752 (N548US),Estimated dep. 10:13 PM
8:25 PM,DL1309,Washington (IAD),Delta Air Lines,A319 (N354NB),Estimated dep. 10:14 PM
8:26 PM,DL757,Phoenix (PHX),Delta Air Lines,A321 (N112DN),Estimated dep. 1:05 AM
8:26 PM,DL2405,Augusta (AGS),Delta Air Lines,B712 (N892AT),Estimated dep. 10:14 PM
8:27 PM,DL3071,Asheville (AVL),Delta Air Lines,B712 (N967AT),Estimated dep. 11:11 PM
8:28 PM,DL1027,Burlington (BTV),Delta Air Lines,B738 (N377DE),Canceled
8:30 PM,DL31,Dallas (DFW),Delta Air Lines,A321 (N339DN),Estimated dep. 10:05 PM
8:30 PM,DL138,Venice (VCE),Delta Air Lines,B764 (N840MH),Estimated dep. 11:15 PM
8:30 PM,DL319,Los Angeles (LAX),Delta Air Lines,A21N (N513DA),Estimated dep. 12:12 AM
8:30 PM,DL1174,Philadelphia (PHL),Delta Air Lines,A321 (N364DX),Estimated dep. 10:00 PM
8:30 PM,EJA857,Nashville (QQN),NetJets,-,Estimated dep. 8:36 PM
8:30 PM,CNS1294,Brunswick (SSI),PlaneSense,PC12,Estimated dep. 8:40 PM
8:30 PM,LXJ502,Brunswick (SSI),Flexjet,CL35,Estimated dep. 8:40 PM
8:32 PM,DL1065,West Palm Beach (PBI),Delta Air Lines,A321 (N340DN),Estimated dep. 10:14 PM
8:34 PM,DL2257,Birmingham (BHM),Delta Air Lines,B739 (N947DZ),Estimated dep. 10:01 PM
8:35 PM,NK2711,Columbus (CMH),Spirit Airlines,A21N (N710NK),Estimated dep. 12:00 AM
8:36 PM,DL1663,Charleston (CHS),Delta Air Lines,B739 (N958DZ),Estimated dep. 11:26 PM
8:36 PM,NK2851,Detroit (DTW),Spirit Airlines,A320 (N613NK),Estimated dep. 10:48 PM
8:38 PM,DL3217,Savannah (SAV),Delta Air Lines,B739,Estimated dep. 11:47 PM
8:39 PM,DL1473,Greensboro (GSO),Delta Air Lines,B739 (N893DN),Estimated dep. 10:14 PM
8:39 PM,DL5168,Alexandria (AEX),Delta Connection,CRJ7 (N668CA),Estimated dep. 11:57 PM
8:40 PM,DL1591,Tampa (TPA),Delta Air Lines,B752 (N659DL),Estimated dep. 11:02 PM
8:40 PM,DL2701,Little Rock (LIT),Delta Air Lines,B738 (N384DA),Estimated dep. 11:08 PM
8:41 PM,DL545,San Francisco (SFO),Delta Air Lines,B739 (N818DA),Estimated dep. 11:40 PM
8:44 PM,DL556,Santa Ana (SNA),Delta Air Lines,B752 (N711ZX),Estimated dep. 10:14 PM
8:45 PM,DL1076,Chicago (MDW),Delta Air Lines,B712 (N963AT),Estimated dep. 11:10 PM
8:45 PM,DL1339,Cleveland (CLE),Delta Air Lines,B739 (N815DN),Estimated dep. 10:55 PM
8:45 PM,DL1733,Orlando (MCO),Delta Air Lines,B752 (N699DL),Estimated dep. 12:29 AM
8:45 PM,WN371,Washington (DCA),Southwest Airlines,B737 (N209WN),Estimated dep. 10:12 PM
8:45 PM,WN423,Orlando (MCO),Southwest Airlines,B737 (N462WN),Estimated dep. 10:48 PM
8:46 PM,DL5443,Valdosta (VLD),Delta Connection,CRJ9 (N331PQ),Estimated dep. 11:25 PM
8:47 PM,DL1684,Destin Fort Walton Beach (VPS),Delta Air Lines,B739 (N934DZ),Estimated dep. 11:38 PM
8:50 PM,DL2052,Raleigh-Durham (RDU),Delta Air Lines,B739 (N932DZ),Estimated dep. 11:20 PM
8:50 PM,DL24,Nice (NCE),Delta Air Lines,B764 (N825MH),Estimated dep. 10:14 PM
8:50 PM,DL2527,New York (EWR),Delta Air Lines,B739 (N814DN),Estimated dep. 11:55 PM
8:52 PM,DL1234,Miami (MIA),Delta Air Lines,B752 (N688DL),Estimated dep. 11:10 PM
8:54 PM,DL2833,St. Louis (STL),Delta Air Lines,B739 (N829DN),Estimated dep. 11:30 PM
8:54 PM,DL3008,Columbia (CAE),Delta Air Lines,B712 (N943AT),Estimated dep. 10:43 PM
8:54 PM,DL1713,El Paso (ELP),Delta Air Lines,B739 (N889DN),Estimated dep. 10:00 PM
8:55 PM,WN1938,St. Louis (STL),Southwest Airlines,B737 (N7824A),Estimated dep. 11:43 PM
8:56 PM,DL4910,Dothan (DHN),Delta Connection,CRJ9 (N691CA),Estimated dep. 11:27 PM
8:59 PM,DL378,Washington (DCA),Delta Air Lines,A320 (N337NW),Estimated dep. 11:25 PM
8:59 PM,DL682,Sacramento (SMF),Delta Air Lines,B739 (N861DN),Estimated dep. 11:15 PM
8:59 PM,DL1057,Sarasota (SRQ),Delta Air Lines,B752 (N6700),Estimated dep. 9:57 PM
8:59 PM,DL779,Ontario (ONT),Delta Air Lines,A321 (N301DV),Estimated dep. 11:30 PM
8:59 PM,DL933,San Jose (SJC),Delta Air Lines,B739 (N856DN),Estimated dep. 11:25 PM
8:59 PM,DL1083,Fort Myers (RSW),Delta Air Lines,B752 (N667DN),Estimated dep. 12:06 AM
8:59 PM,DL1222,San Antonio (SAT),Delta Air Lines,A321 (N332DN),Estimated dep. 12:10 AM
8:59 PM,DL2670,Baltimore (BWI),Delta Air Lines,B752 (N6707A),Estimated dep. 11:44 PM
8:59 PM,F941,Guatemala City (GUA),Frontier (Jo Jo the Grizzly Bear Livery),A20N (N335FR),Estimated dep. 9:15 PM
8:59 PM,F9219,San Salvador (SAL),Frontier (Trixie the Fox Livery),A20N (N329FR),Estimated dep. 10:10 PM
9:00 PM,DL520,New York (LGA),Delta Air Lines,A321 (N392DN),Estimated dep. 11:30 PM
9:00 PM,F93288,New York (LGA),Frontier (Pike the Otter Livery),A320 (N235FR),Estimated dep. 9:00 PM
9:00 PM,TWY247,Little Rock (LIT),Solairus Aviation,F900,Estimated dep. 9:10 PM
9:06 PM,DL2965,Greenville-Spartanburg (GSP),Delta Air Lines,B739 (N899DN),Estimated dep. 11:21 PM
9:08 PM,DL5224,Knoxville (TYS),Delta Connection,CRJ9 (N903XJ),Estimated dep. 11:30 PM
9:09 PM,DL1251,Tucson (TUS),Delta Air Lines,B739 (N864DN),Estimated dep. 11:15 PM
9:09 PM,DL4892,Jacksonville (OAJ),Delta Connection,CRJ9 (N186GJ),Estimated dep. 6:13 AM
9:10 PM,DL493,Denver (DEN),Delta Air Lines,A321 (N354DN),Estimated dep. 10:45 PM
9:15 PM,DL2416,Montreal (YUL),Delta Air Lines,A320 (N362NW),Estimated dep. 10:37 PM
9:15 PM,DL2051,Houston (HOU),Delta Air Lines,B712 (N974AT),Estimated dep. 10:50 PM
9:15 PM,DL5074,Golden Triangle (GTR),Delta Connection,CRJ9 (N913XJ),Estimated dep. 8:05 AM
9:18 PM,DL2945,Appleton (ATW),Delta Air Lines,B712 (N895AT),Estimated dep. 11:17 PM
9:19 PM,DL1531,Albuquerque (ABQ),Delta Air Lines,B739 (N877DN),Estimated dep. 11:35 PM
9:19 PM,DL5469,Fayetteville (FAY),Delta Connection,CRJ9 (N907XJ),Estimated dep. 12:01 AM
9:20 PM,DL1011,Windsor Locks (BDL),Delta Air Lines,A321 (N396DN),Estimated dep. 1:00 AM
9:20 PM,DL3065,Huntsville (HSV),Delta Air Lines,B712 (N929AT),Estimated dep. 11:13 PM
9:20 PM,,Greenville (GMU),-,BE36 (N38WB),Estimated dep. 9:41 PM
9:22 PM,F92174,Fort Lauderdale (FLL),"Frontier (Ed, Edwin & Eddie the Penguins Livery)",A20N (N344FR),Estimated dep. 9:38 PM
9:22 PM,DL2731,Norfolk (ORF),Delta Air Lines,B752 (N555NW),Estimated dep. 11:43 PM
9:23 PM,DL5535,Lafayette (LFT),Delta Connection,CRJ9 (N136EV),Estimated dep. 12:30 AM
9:25 PM,F93782,Tampa (TPA),Frontier Airlines,A320,Estimated dep. 9:41 PM
9:25 PM,DL903,Seattle (SEA),Delta Air Lines,B739 (N912DU),Estimated dep. 10:50 PM
9:25 PM,DL1490,Nashville (BNA),Delta Air Lines,B739 (N936DZ),Estimated dep. 12:10 AM
9:26 PM,DL825,Las Vegas (LAS),Delta Air Lines,A321 (N388DN),Estimated dep. 11:45 PM
9:26 PM,DL1183,Cincinnati (CVG),Delta Air Lines,B739 (N952DZ),Estimated dep. 12:18 AM
9:27 PM,DL5491,Evansville (EVV),Delta Connection,CRJ9 (N491PX),Estimated dep. 12:26 AM
9:28 PM,DL1107,Fort Lauderdale (FLL),Delta Air Lines,B752 (N6702),Estimated dep. 11:05 PM
9:29 PM,DL4117,Fort Wayne (FWA),Delta Connection,CRJ9 (N548CA),Estimated dep. 10:33 PM
9:30 PM,F94075,Houston (IAH),Frontier (Betty the Bluebird Livery),A320 (N230FR),Estimated dep. 10:15 PM
9:31 PM,DL1954,Gulfport (GPT),Delta Air Lines,B712 (N980AT),Estimated dep. 11:40 PM
9:32 PM,DL1426,Richmond (RIC),Delta Air Lines,B752 (N550NW),Estimated dep. 11:45 PM
9:33 PM,DL1784,Providence (PVD),Delta Air Lines,A321 (N363DN),Estimated dep. 11:27 PM
9:33 PM,DL2144,Madison (MSN),Delta Air Lines,B712 (N979AT),Canceled
9:34 PM,DL1511,Louisville (SDF),Delta Air Lines,B739 (N922DZ),Estimated dep. 11:25 PM
9:34 PM,DL2615,Sioux Falls (FSD),Delta Air Lines,A319 (N340NB),Estimated dep. 10:09 PM
9:35 PM,DL3023,Kansas City (MCI),Delta Air Lines,B739 (N951DX),Estimated dep. 11:23 PM
9:35 PM,DL2450,Blountville (TRI),Delta Air Lines,B712 (N960AT),Estimated dep. 11:35 PM
9:35 PM,DL2584,Albany (ALB),Delta Air Lines,A320 (N340NW),Estimated dep. 12:09 AM
9:35 PM,DL2865,Grand Rapids (GRR),Delta Air Lines,B739 (N850DN),Estimated dep. 10:39 PM
9:35 PM,DL3137,Charlotte (CLT),Delta Air Lines,B712 (N896AT),Estimated dep. 11:05 PM
9:35 PM,DL5452,Monroe (MLU),Delta Connection,CRJ7 (N641CA),Estimated dep. 12:14 AM
9:35 PM,VJT878,Atlanta (PDK),VistaJet,GLEX,Estimated dep. 9:45 PM
9:37 PM,DL1081,Austin (AUS),Delta Air Lines,A321 (N311DN),Estimated dep. 11:40 PM
9:39 PM,DL1617,Greensboro (GSO),Delta Air Lines,B738 (N395DN),Estimated dep. 10:00 PM
9:40 PM,DL1167,Tampa (TPA),Delta Air Lines,B752 (N687DL),Estimated dep. 12:18 AM
9:40 PM,DL1232,Detroit (DTW),Delta Air Lines,B752 (N819DX),Estimated dep. 11:07 PM
9:40 PM,DL2860,Savannah (SAV),Delta Air Lines,B739 (N816DN),Estimated dep. 10:00 PM
9:40 PM,DL1381,Charleston (CHS),Delta Air Lines,B739 (N890DN),Estimated dep. 12:30 AM
9:40 PM,DL1501,Columbus (CMH),Delta Air Lines,B739 (N863DN),Estimated dep. 11:30 PM
9:40 PM,DL2034,Birmingham (BHM),Delta Air Lines,B739 (N954DZ),Estimated dep. 11:23 PM
9:40 PM,DL3932,Springfield (SGF),Delta Connection,CRJ7 (N776SK),Estimated dep. 10:39 PM
9:42 PM,DL2504,Tallahassee (TLH),Delta Air Lines,B712 (N986AT),Estimated dep. 11:30 PM
9:42 PM,DL2565,Indianapolis (IND),Delta Air Lines,B739 (N956DZ),Estimated dep. 11:06 PM
9:44 PM,DL842,Phoenix (PHX),Delta Air Lines,A321 (N374DX),Estimated dep. 10:39 PM
9:45 PM,DL32,London (LHR),Delta Air Lines,B764 (N837MH),Estimated dep. 10:29 PM
9:45 PM,DL1001,Jacksonville (JAX),Delta Air Lines,B752 (N673DL),Estimated dep. 11:43 PM
9:45 PM,DL1162,Orlando (MCO),Delta Air Lines,B752 (N820DX),Estimated dep. 11:15 PM
9:45 PM,DL2123,Syracuse (SYR),Delta Air Lines,A321 (N106DN),Estimated dep. 11:45 PM
9:45 PM,NK2349,Detroit (DTW),Spirit Airlines,A21N (N718NK),Estimated dep. 11:48 PM
9:45 PM,TK32,Istanbul (IST),Turkish Airlines,B789 (TC-LLY),Estimated dep. 11:25 PM
9:45 PM,WN2622,Dallas (DAL),Southwest Airlines,B737 (N904WN),Estimated dep. 12:11 AM
9:45 PM,TWY50,Santa Barbara (SBA),Solairus Aviation,FA7X,Estimated dep. 9:45 PM
9:46 PM,DL2306,Des Moines (DSM),Delta Air Lines,B712 (N966AT),Estimated dep. 11:26 PM
9:46 PM,F92272,Miami (MIA),Frontier (Elrey the Elk Livery),A20N (N370FR),Estimated dep. 10:02 PM
9:47 PM,DL331,Los Angeles (LAX),Delta Air Lines,A321 (N342DN),Canceled
9:47 PM,DL2334,Buffalo (BUF),Delta Air Lines,B739 (N824DN),Estimated dep. 11:21 PM
9:48 PM,DL2138,Portland (PWM),Delta Air Lines,A320 (N319US),Estimated dep. 12:14 AM
9:48 PM,DL5225,Charlottesville (CHO),Delta Connection,CRJ9 (N228PQ),Estimated dep. 11:28 PM
9:50 PM,DL84,Paris (CDG),Delta Air Lines,B764 (N833MH),Estimated dep. 12:13 AM
9:50 PM,DL147,Santiago (SCL),Delta Air Lines,A359 (N528DN),Estimated dep. 10:00 PM
9:50 PM,DL971,Cleveland (CLE),Delta Air Lines,B738 (N3762Y),Estimated dep. 11:17 PM
9:50 PM,DL2315,Baton Rouge (BTR),Delta Air Lines,B712 (N951AT),Estimated dep. 10:58 PM
9:50 PM,DL2626,Cedar Rapids (CID),Delta Air Lines,B738 (N3743H),Estimated dep. 12:09 AM
9:50 PM,DL3086,Pensacola (PNS),Delta Air Lines,B752 (N544US),Estimated dep. 12:00 AM
9:50 PM,DL4950,Moline (MLI),Delta Connection,CRJ9 (N186GJ),Estimated dep. 11:19 PM
9:52 PM,DL478,Portland (PDX),Delta Air Lines,B739 (N825DN),Estimated dep. 11:43 PM
9:53 PM,DL1577,Memphis (MEM),Delta Air Lines,B739 (N809DN),Estimated dep. 12:00 AM
9:54 PM,DL2072,New Orleans (MSY),Delta Air Lines,B752 (N684DA),Estimated dep. 12:04 AM
9:55 PM,WN3978,Chicago (MDW),Southwest Airlines,B737 (N268WN),Estimated dep. 10:46 PM
9:56 PM,DL3244,Raleigh-Durham (RDU),Delta Air Lines,B739 (N940DU),Estimated dep. 11:51 PM
9:57 PM,DL1495,West Palm Beach (PBI),Delta Air Lines,A321 (N329DN),Estimated dep. 11:59 PM
9:58 PM,DL896,San Diego (SAN),Delta Air Lines,A321 (N103DY),Estimated dep. 11:55 PM
9:58 PM,DL3079,Gainesville (GNV),Delta Air Lines,B712 (N891AT),Estimated dep. 12:35 AM
9:59 PM,DL537,Washington (DCA),Delta Air Lines,A319 (N358NB),Estimated dep. 11:00 PM
9:59 PM,DL4866,Bloomington (BMI),Delta Air Lines,CRJ9,Estimated dep. 1:53 AM
9:59 PM,DL5362,Charleston (CRW),Delta Connection,CRJ7 (N398CA),Estimated dep. 11:49 PM
10:00 PM,F99832,New York (LGA),Frontier Airlines,A320,Estimated dep. 10:16 PM
10:02 PM,DL1055,Harrisburg (MDT),Delta Air Lines,B712 (N893AT),Estimated dep. 11:13 PM
10:05 PM,DL2948,Green Bay (GRB),Delta Air Lines,B738 (N393DA),Estimated dep. 11:15 PM
10:15 PM,DL2959,Wichita (ICT),Delta Air Lines,B712 (N939AT),Estimated dep. 10:59 PM
10:15 PM,F92779,Chicago (MDW),Frontier (Stretch the Great Blue Heron Livery),A20N (N334FR),Estimated dep. 1:07 AM
10:15 PM,F94602,New York (EWR),Frontier (Brazos the Ridgway's Hawk),A21N (N658FR),Estimated dep. 12:16 AM
10:15 PM,F91082,Washington (IAD),Frontier (Lone Star the Longhorn Steer Livery),A20N (N347FR),Estimated dep. 12:34 AM
10:15 PM,F94818,New York (JFK),Frontier (Pike the Otter Livery),A320 (N235FR),Estimated dep. 10:53 PM
10:16 PM,DL2435,Melbourne (MLB),Delta Air Lines,B712 (N607AT),Estimated dep. 11:15 PM
10:20 PM,BA226,London (LHR),British Airways,B772 (G-VIIK),Estimated dep. 10:20 PM
10:20 PM,DL200,Johannesburg (JNB),Delta Air Lines,A359 (N575DZ),Estimated dep. 11:05 PM
10:24 PM,F92552,Philadelphia (PHL),Frontier (D&A the Hispaniolan Parakeets Livery),A21N (N635FR),Estimated dep. 11:32 PM
10:26 PM,F92510,Baltimore (BWI),Frontier (Trixie the Fox Livery),A20N (N329FR),Estimated dep. 12:00 AM
10:30 PM,DL269,Sao Paulo (GRU),Delta Air Lines,A333 (N802NW),Estimated dep. 11:15 PM
10:30 PM,DL4058,Shreveport (SHV),Delta Connection,CRJ9 (N816SK),Estimated dep. 10:30 PM
10:30 PM,CI5345,San Francisco (SFO),China Airlines,B77L,Estimated dep. 10:49 PM
10:30 PM,8C8028,Houston (IAH),Air Transport International,B763,Estimated dep. 10:43 PM
10:35 PM,DL1774,Dayton (DAY),Delta Air Lines,B712 (N991AT),Estimated dep. 12:23 AM
10:35 PM,5Y6040,Istanbul (IST),Atlas Air,74F,Scheduled
10:40 PM,KL622,Amsterdam (AMS),KLM,B77W (PH-BVN),Estimated dep. 11:01 PM
10:40 PM,DL865,Boston (BOS),Delta Air Lines,A321 (N336DX),Canceled
10:40 PM,DL2386,New York (JFK),Delta Air Lines,B752 (N6715C),Estimated dep. 12:45 AM
10:40 PM,DL2997,Sarasota (SRQ),Delta Air Lines,B752 (N547US),Estimated dep. 12:01 AM
10:41 PM,DL1959,Charlotte (CLT),Delta Air Lines,B712 (N946AT),Estimated dep. 11:52 PM
10:42 PM,DL1560,Tampa (TPA),Delta Air Lines,B752 (N823DX),Estimated dep. 11:22 PM
10:43 PM,DL453,Salt Lake City (SLC),Delta Air Lines,A321 (N123DW),Estimated dep. 10:43 PM
10:43 PM,DL1104,Dallas (DAL),Delta Air Lines,B712 (N988AT),Canceled
10:43 PM,DL2590,Baltimore (BWI),Delta Air Lines,B752 (N556NW),Estimated dep. 11:44 PM
10:44 PM,DL2213,Lexington (LEX),Delta Air Lines,B712 (N953AT),Estimated dep. 1:12 AM
10:44 PM,DL2549,Washington (IAD),Delta Air Lines,BCS3 (N332DU),Estimated dep. 12:12 AM
10:45 PM,DL1562,Orlando (MCO),Delta Air Lines,B753 (N590NW),Estimated dep. 10:45 PM
10:45 PM,DL2276,Jacksonville (JAX),Delta Air Lines,B752 (N685DA),Estimated dep. 12:20 AM
10:45 PM,DL3070,Wilmington (ILM),Delta Air Lines,B712 (N922AT),Estimated dep. 11:07 PM
10:46 PM,DL793,Las Vegas (LAS),Delta Air Lines,A321 (N380DN),Estimated dep. 11:49 PM
10:46 PM,DL2552,New York (EWR),Delta Air Lines,A321 (N313DN),Estimated dep. 11:59 PM
10:47 PM,DL656,San Francisco (SFO),Delta Air Lines,B739 (N904DN),Estimated dep. 11:15 PM
10:47 PM,DL1601,Houston (IAH),Delta Air Lines,A321 (N331DN),Estimated dep. 12:45 AM
10:48 PM,DL2850,Charleston (CHS),Delta Air Lines,B739 (N937DZ),Estimated dep. 12:01 AM
10:49 PM,DL2423,Oklahoma City (OKC),Delta Air Lines,A319 (N362NB),Estimated dep. 11:22 PM
10:49 PM,DL3029,Columbia (CAE),Delta Air Lines,B712 (N989AT),Estimated dep. 11:54 PM
10:50 PM,F94036,Cleveland (CLE),Frontier Airlines,A21N (N667FR),Estimated dep. 10:50 PM
10:50 PM,DL1199,Chicago (ORD),Delta Air Lines,B738 (N380DA),Estimated dep. 12:30 AM
10:50 PM,DL2043,Tulsa (TUL),Delta Air Lines,B712 (N961AT),Estimated dep. 12:12 AM
10:50 PM,DL2338,Norfolk (ORF),Delta Air Lines,B752 (N6701),Estimated dep. 12:27 AM
10:50 PM,DL2472,Rochester (ROC),Delta Air Lines,A320 (N373NW),Estimated dep. 12:10 AM
10:50 PM,DL3116,Asheville (AVL),Delta Air Lines,B712 (N979AT),Estimated dep. 11:47 PM
10:52 PM,DL1508,San Antonio (SAT),Delta Air Lines,A321 (N119DN),Estimated dep. 12:32 AM
10:52 PM,DL2395,Cincinnati (CVG),Delta Air Lines,B739 (N960DZ),Estimated dep. 12:17 AM
10:54 PM,DL3164,Richmond (RIC),Delta Air Lines,B752 (N6714Q),Estimated dep. 12:19 AM
10:54 PM,DL1351,Pittsburgh (PIT),Delta Air Lines,B739 (N955DZ),Estimated dep. 12:09 AM
10:55 PM,DL101,Buenos Aires (EZE),Delta Air Lines,A339 (N409DX),Estimated dep. 10:55 PM
10:55 PM,DL3098,Austin (AUS),Delta Air Lines,A321 (N393DN),Estimated dep. 10:55 PM
10:55 PM,DL3955,Montgomery (MGM),American Eagle,CRJ7 (N712SK),Estimated dep. 10:55 PM
10:55 PM,DL5358,Augusta (AGS),Delta Connection,CRJ9 (N607LR),Estimated dep. 1:31 AM
10:55 PM,3S457,Frankfurt (FRA),DHL,B77L (D-AALT),Estimated dep. 11:05 PM
10:56 PM,DL3247,Raleigh-Durham (RDU),Delta Air Lines,B739 (N957DZ),Estimated dep. 1:05 AM
10:57 PM,DL1310,Minneapolis (MSP),Delta Air Lines,B753 (N594NW),Estimated dep. 11:15 PM
10:58 PM,F93397,Chicago (ORD),Frontier (Scarlet the Tanager Livery),A20N (N354FR),Estimated dep. 12:21 AM
10:58 PM,DL956,Denver (DEN),Delta Air Lines,A321 (N366DX),Estimated dep. 10:58 PM
10:58 PM,DL2940,Detroit (DTW),Delta Air Lines,B752 (N698DL),Estimated dep. 10:58 PM
10:59 PM,DL575,Los Angeles (LAX),Delta Air Lines,A321 (N117DX),Estimated dep. 11:57 PM
10:59 PM,DL1058,West Palm Beach (PBI),Delta Air Lines,A321 (N358DN),Estimated dep. 11:47 PM
10:59 PM,DL2911,Kansas City (MCI),Delta Air Lines,B739 (N949DZ),Estimated dep. 11:36 PM
10:59 PM,DL3074,Myrtle Beach (MYR),Delta Air Lines,A320 (N378NW),Estimated dep. 10:59 PM
11:00 PM,DL2412,Chattanooga (CHA),Delta Air Lines,B712 (N985AT),Estimated dep. 11:00 PM
11:00 PM,DL2657,Indianapolis (IND),Delta Air Lines,B739 (N923DZ),Estimated dep. 11:00 PM
11:00 PM,AF35,Paris (CDG),Air France,B772 (F-GSPM),Estimated dep. 11:12 PM
11:00 PM,DL1229,Fort Lauderdale (FLL),Delta Air Lines,B752 (N6716C),Estimated dep. 11:05 PM
11:00 PM,DL1268,Milwaukee (MKE),Delta Air Lines,B739 (N911DQ),Estimated dep. 11:19 PM
11:00 PM,DL1589,Miami (MIA),Delta Air Lines,B752 (N6704Z),Estimated dep. 11:00 PM
11:00 PM,DL2281,Greenville-Spartanburg (GSP),Delta Air Lines,B739 (N919DU),Estimated dep. 11:00 PM
11:00 PM,DL2372,Roanoke (ROA),Delta Air Lines,A319 (N326NB),Estimated dep. 11:00 PM
11:00 PM,DL2642,Philadelphia (PHL),Delta Air Lines,A321 (N309DN),Estimated dep. 11:45 PM
11:00 PM,,Concord (USA),-,CRJ7 (N519JG),Estimated dep. 11:00 PM
11:00 PM,EJA857,Nashville (QQN),NetJets,C700,Estimated dep. 11:06 PM
11:03 PM,DL3072,Knoxville (TYS),Delta Air Lines (SkyTeam Livery),B738 (N381DN),Estimated dep. 1:08 AM
11:05 PM,DL2425,Savannah (SAV),Delta Air Lines,B739 (N892DN),Estimated dep. 11:05 PM
11:05 PM,DL3005,Greensboro (GSO),Delta Air Lines,B712 (N954AT),Estimated dep. 1:55 AM
11:05 PM,DL34,Edinburgh (EDI),Delta Air Lines,B763 (N180DN),Estimated dep. 11:50 PM
11:05 PM,DL818,Dallas (DFW),Delta Air Lines,A321 (N326DN),Estimated dep. 11:05 PM
11:05 PM,DL1320,Cleveland (CLE),Delta Air Lines,B739,Estimated dep. 11:05 PM
11:05 PM,DL1459,Columbus (CMH),Delta Air Lines,B739 (N891DN),Estimated dep. 12:10 AM
11:05 PM,DL2495,Omaha (OMA),Delta Air Lines,A320 (N339NW),Estimated dep. 11:54 PM
11:05 PM,DL3034,Daytona Beach (DAB),Delta Air Lines,B739 (N948DZ),Estimated dep. 12:18 AM
11:05 PM,DL5472,Bentonville (XNA),Delta Connection,CRJ9 (N924XJ),Estimated dep. 11:43 PM
11:05 PM,DL1217,Fort Myers (RSW),Delta Air Lines,B752 (N551NW),Estimated dep. 11:05 PM
11:10 PM,DL3193,Nashville (BNA),Delta Air Lines,B739 (N939DZ),Estimated dep. 11:56 PM
11:10 PM,DL1403,St. Louis (STL),Delta Air Lines,B739 (N927DZ),Estimated dep. 11:29 PM
11:10 PM,DL2029,Mobile (MOB),Delta Air Lines,B712 (N965AT),Estimated dep. 1:09 AM
11:10 PM,DL2083,Little Rock (LIT),Delta Air Lines,B738 (N3735D),Estimated dep. 1:18 AM
11:10 PM,DL2224,New Orleans (MSY),Delta Air Lines,B752 (N6712B),Estimated dep. 12:02 AM
11:10 PM,DL2624,Louisville (SDF),Delta Air Lines,B739 (N953DZ),Estimated dep. 11:39 PM
11:10 PM,DL3117,Jackson (JAN),Delta Air Lines,B712 (N603AT),Estimated dep. 11:10 PM
11:11 PM,5X1303,Louisville (SDF),UPS,MD11 (N275UP),Estimated dep. 11:22 PM
11:15 PM,DL3022,Huntsville (HSV),Delta Air Lines,B712 (N933AT),Estimated dep. 1:40 AM
11:15 PM,DL2741,Birmingham (BHM),Delta Air Lines,B739 (N962DZ),Estimated dep. 12:31 AM
11:15 PM,DL3097,Destin Fort Walton Beach (VPS),Delta Air Lines,B712 (N995AT),Estimated dep. 12:02 AM
